epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60791,2.12307,3.44054,1.91845,0.02348,0.26892,0.0874,0.03243,1.86999,3.4242,1.73871,0.00015003,0.00015003,0.00015003
2,6.07235,1.66707,3.11467,1.50961,0.05623,0.72212,0.19866,0.06647,1.7462,3.19147,1.52701,0.000313594,0.000313594,0.000313594
3,8.4899,1.61755,2.34662,1.4041,0.90237,0.15854,0.28404,0.0944,1.71159,2.99376,1.46629,0.000473858,0.000473858,0.000473858
4,11.8332,1.57955,1.94281,1.35575,0.61033,0.18251,0.38795,0.1747,1.66835,2.65643,1.39705,0.000630821,0.000630821,0.000630821
5,14.8573,1.55711,1.74204,1.37668,0.65548,0.60244,0.66157,0.37179,1.6459,1.9537,1.38477,0.000784484,0.000784484,0.000784484
6,17.5934,1.51571,1.492,1.31563,0.73603,0.61028,0.68103,0.35631,1.72256,1.55699,1.33572,0.000934845,0.000934845,0.000934845
7,20.3358,1.58962,1.42523,1.37803,0.78305,0.63217,0.68732,0.34229,1.79451,1.57994,1.3088,0.00108191,0.00108191,0.00108191
8,23.1781,1.46106,1.31648,1.33148,0.72806,0.64794,0.70578,0.35908,1.74828,1.51637,1.35178,0.00122567,0.00122567,0.00122567
9,25.968,1.42502,1.31424,1.31427,0.73381,0.72118,0.75143,0.37496,1.78648,1.52569,1.40271,0.00136613,0.00136613,0.00136613
10,28.8394,1.49253,1.30135,1.4004,0.64524,0.68186,0.6622,0.33335,1.70248,2.09611,1.41749,0.00150329,0.00150329,0.00150329
11,31.6114,1.46116,1.22511,1.32633,0.68548,0.69856,0.67602,0.34527,1.70259,1.86348,1.41603,0.00150197,0.00150197,0.00150197
12,34.521,1.4583,1.21096,1.34177,0.77028,0.71207,0.72699,0.38796,1.59745,1.7485,1.36455,0.00148546,0.00148546,0.00148546
13,37.3093,1.33807,1.15986,1.2967,0.67695,0.78411,0.76377,0.42303,1.54166,1.76705,1.31679,0.00146896,0.00146896,0.00146896
14,40.0334,1.40834,1.15742,1.30588,0.71497,0.78185,0.80252,0.44679,1.54468,1.46756,1.27872,0.00145246,0.00145246,0.00145246
15,42.7863,1.40604,1.19052,1.30101,0.7829,0.73973,0.78994,0.4332,1.56363,1.38656,1.25893,0.00143595,0.00143595,0.00143595
16,45.7598,1.41013,1.20445,1.31182,0.78115,0.76926,0.78948,0.40494,1.64211,1.30718,1.27682,0.00141945,0.00141945,0.00141945
17,48.6245,1.40773,1.11731,1.27257,0.76952,0.80202,0.79105,0.39302,1.6702,1.24257,1.30616,0.00140295,0.00140295,0.00140295
18,51.4109,1.38077,1.14469,1.26668,0.79349,0.85901,0.86119,0.47152,1.51236,1.10625,1.23904,0.00138644,0.00138644,0.00138644
19,54.6042,1.29876,1.07196,1.21802,0.78663,0.82268,0.88253,0.48783,1.46939,1.15455,1.2248,0.00136994,0.00136994,0.00136994
20,57.7225,1.30873,1.07403,1.25022,0.77209,0.85031,0.89535,0.48301,1.54023,1.18176,1.25275,0.00135344,0.00135344,0.00135344
21,61.0768,1.33965,1.06686,1.2335,0.85657,0.82073,0.88652,0.4984,1.50025,1.11743,1.2294,0.00133693,0.00133693,0.00133693
22,64.3323,1.26895,1.00348,1.18975,0.80487,0.82985,0.86667,0.48809,1.4125,1.02459,1.19584,0.00132043,0.00132043,0.00132043
23,67.3789,1.27338,1.06145,1.19017,0.86517,0.80216,0.88674,0.47804,1.52485,1.01856,1.22677,0.00130393,0.00130393,0.00130393
24,70.1183,1.29306,1.02861,1.17759,0.84584,0.85462,0.88192,0.47249,1.57471,1.02389,1.25121,0.00128742,0.00128742,0.00128742
25,72.874,1.30229,1.03995,1.20687,0.82669,0.86193,0.85357,0.47456,1.48291,1.04612,1.21387,0.00127092,0.00127092,0.00127092
26,75.6725,1.28618,1.09336,1.22585,0.84202,0.87395,0.87939,0.48187,1.47985,0.99898,1.20299,0.00125442,0.00125442,0.00125442
27,78.4859,1.26229,0.994,1.19971,0.84163,0.86973,0.90618,0.48906,1.52257,1.01798,1.2228,0.00123791,0.00123791,0.00123791
28,81.2774,1.24856,1.00309,1.19,0.87567,0.89121,0.9123,0.52756,1.44351,0.95358,1.19043,0.00122141,0.00122141,0.00122141
29,83.8756,1.18002,0.92933,1.15561,0.87983,0.89386,0.93354,0.57871,1.31689,0.89917,1.14437,0.00120491,0.00120491,0.00120491
30,86.5478,1.25374,0.96355,1.18032,0.8998,0.87893,0.93546,0.58137,1.33935,0.89401,1.16132,0.0011884,0.0011884,0.0011884
31,89.5006,1.25375,0.97238,1.21072,0.86598,0.86879,0.92636,0.54889,1.41828,0.92835,1.19441,0.0011719,0.0011719,0.0011719
32,92.0648,1.24106,0.96027,1.19147,0.85044,0.86052,0.92937,0.52928,1.46903,0.97147,1.2123,0.0011554,0.0011554,0.0011554
33,94.7857,1.21334,0.92308,1.14372,0.82688,0.90158,0.93411,0.52503,1.44377,0.99047,1.2016,0.00113889,0.00113889,0.00113889
34,97.5793,1.24962,0.96602,1.18751,0.87418,0.86797,0.93145,0.54996,1.33305,0.89758,1.1604,0.00112239,0.00112239,0.00112239
35,100.036,1.18363,0.93454,1.17399,0.85795,0.90681,0.93499,0.55171,1.33165,0.86497,1.15604,0.00110589,0.00110589,0.00110589
36,102.598,1.22331,0.90355,1.16924,0.85759,0.89933,0.93438,0.51788,1.47775,0.88168,1.20575,0.00108938,0.00108938,0.00108938
37,105.507,1.16921,0.8813,1.1474,0.84039,0.90922,0.92693,0.4829,1.62695,0.90533,1.25321,0.00107288,0.00107288,0.00107288
38,109.525,1.18138,0.89345,1.14566,0.87464,0.9246,0.93107,0.52052,1.48013,0.8802,1.18672,0.00105638,0.00105638,0.00105638
39,113.271,1.21999,0.89708,1.18584,0.89187,0.91719,0.94468,0.54088,1.39481,0.85474,1.16369,0.00103987,0.00103987,0.00103987
40,116.656,1.22582,0.93423,1.19338,0.89591,0.94117,0.95187,0.54376,1.38909,0.84195,1.16743,0.00102337,0.00102337,0.00102337
41,119.831,1.19842,0.89323,1.16909,0.90902,0.93368,0.95546,0.53697,1.41444,0.84098,1.18272,0.00100687,0.00100687,0.00100687
42,123.089,1.21029,0.90416,1.18606,0.92062,0.89717,0.94314,0.54182,1.45053,0.85767,1.17864,0.000990365,0.000990365,0.000990365
43,126.032,1.17791,0.93009,1.17461,0.91147,0.90922,0.94673,0.53825,1.45311,0.88247,1.19031,0.000973861,0.000973861,0.000973861
44,129.026,1.1556,0.84845,1.14581,0.87276,0.90042,0.93894,0.54041,1.42832,0.90021,1.19,0.000957358,0.000957358,0.000957358
45,131.967,1.17443,0.84836,1.16586,0.87946,0.89219,0.94363,0.55041,1.41181,0.89458,1.18162,0.000940855,0.000940855,0.000940855
46,134.639,1.13488,0.84609,1.13895,0.93241,0.93989,0.96261,0.59026,1.34917,0.8058,1.13951,0.000924352,0.000924352,0.000924352
47,137.16,1.16518,0.85817,1.16172,0.91349,0.94377,0.96112,0.60346,1.30111,0.78032,1.12234,0.000907848,0.000907848,0.000907848
48,139.682,1.14455,0.83999,1.13613,0.88602,0.95018,0.94788,0.58873,1.33331,0.78824,1.1402,0.000891345,0.000891345,0.000891345
49,142.141,1.15319,0.87671,1.13623,0.88876,0.94467,0.9389,0.55591,1.40061,0.78685,1.16991,0.000874842,0.000874842,0.000874842
50,144.824,1.20531,0.83983,1.16483,0.90595,0.93616,0.94634,0.55082,1.44846,0.79282,1.18538,0.000858338,0.000858338,0.000858338
51,147.304,1.14802,0.81235,1.13903,0.91862,0.92909,0.95767,0.55138,1.45176,0.80685,1.18409,0.000841835,0.000841835,0.000841835
52,149.799,1.19307,0.84516,1.17003,0.90345,0.92815,0.95732,0.54526,1.43507,0.81177,1.18012,0.000825332,0.000825332,0.000825332
53,152.207,1.17489,0.85876,1.15549,0.9105,0.91558,0.95943,0.55147,1.40454,0.80402,1.17085,0.000808828,0.000808828,0.000808828
54,154.789,1.18105,0.85867,1.15061,0.93721,0.89397,0.968,0.581,1.32197,0.7766,1.14297,0.000792325,0.000792325,0.000792325
55,157.466,1.12325,0.84269,1.14197,0.93273,0.93652,0.97308,0.5814,1.33956,0.77833,1.14631,0.000775822,0.000775822,0.000775822
56,159.886,1.14397,0.80497,1.13494,0.92986,0.93957,0.96976,0.58443,1.34611,0.78815,1.14815,0.000759318,0.000759318,0.000759318
57,162.346,1.1272,0.83212,1.13709,0.9354,0.93202,0.96599,0.58746,1.35124,0.77832,1.13924,0.000742815,0.000742815,0.000742815
58,164.781,1.13107,0.8298,1.12388,0.92342,0.93812,0.9567,0.58119,1.34658,0.76006,1.11902,0.000726312,0.000726312,0.000726312
59,167.334,1.13103,0.79514,1.11132,0.92401,0.93646,0.96135,0.58589,1.33889,0.75266,1.11444,0.000709809,0.000709809,0.000709809
60,169.813,1.04499,0.73736,1.06314,0.92704,0.94249,0.96357,0.59384,1.33033,0.751,1.11442,0.000693305,0.000693305,0.000693305
61,172.338,1.13519,0.81526,1.14649,0.92741,0.94204,0.96594,0.59256,1.30271,0.74156,1.10876,0.000676802,0.000676802,0.000676802
62,174.873,1.1199,0.79455,1.13375,0.94636,0.91162,0.96678,0.61315,1.24542,0.72913,1.08879,0.000660299,0.000660299,0.000660299
63,177.375,1.08897,0.75882,1.11282,0.94113,0.91419,0.96542,0.63158,1.21481,0.7153,1.07816,0.000643795,0.000643795,0.000643795
64,179.916,1.10122,0.75179,1.10149,0.95089,0.92969,0.9652,0.6368,1.21189,0.70796,1.07678,0.000627292,0.000627292,0.000627292
65,182.349,1.11001,0.74734,1.12624,0.96126,0.93166,0.96532,0.62926,1.22744,0.70527,1.08484,0.000610789,0.000610789,0.000610789
66,184.963,1.15394,0.7938,1.15234,0.95074,0.94713,0.974,0.62125,1.24477,0.70009,1.09694,0.000594286,0.000594286,0.000594286
67,187.763,1.07218,0.76852,1.10922,0.95729,0.95451,0.9783,0.59805,1.29352,0.70515,1.11809,0.000577782,0.000577782,0.000577782
68,190.35,1.11125,0.74192,1.11279,0.95505,0.95099,0.98049,0.59735,1.31711,0.71349,1.12572,0.000561279,0.000561279,0.000561279
69,192.89,1.09821,0.75405,1.11458,0.93545,0.95614,0.97554,0.60306,1.30739,0.71288,1.11723,0.000544776,0.000544776,0.000544776
70,195.369,1.1047,0.7545,1.11511,0.9421,0.95468,0.97534,0.6199,1.27556,0.6961,1.1022,0.000528272,0.000528272,0.000528272
71,197.917,1.08938,0.80151,1.09132,0.95742,0.96208,0.97831,0.62594,1.25174,0.68485,1.08921,0.000511769,0.000511769,0.000511769
72,200.45,1.07354,0.74947,1.10695,0.95433,0.96237,0.98061,0.62284,1.25687,0.68064,1.08958,0.000495266,0.000495266,0.000495266
73,202.851,1.07025,0.72791,1.09719,0.94709,0.97264,0.98199,0.62034,1.27807,0.67977,1.09394,0.000478762,0.000478762,0.000478762
74,205.334,1.07718,0.73847,1.10716,0.96271,0.95842,0.984,0.63015,1.27057,0.66008,1.08179,0.000462259,0.000462259,0.000462259
75,207.869,1.10048,0.73872,1.11743,0.9639,0.96099,0.98389,0.6436,1.2531,0.65185,1.07413,0.000445756,0.000445756,0.000445756
76,210.411,1.06398,0.72948,1.10443,0.96055,0.94713,0.9827,0.64539,1.24801,0.65844,1.07071,0.000429253,0.000429253,0.000429253
77,212.923,1.10668,0.72375,1.09348,0.94493,0.95504,0.98203,0.64201,1.24571,0.66456,1.07002,0.000412749,0.000412749,0.000412749
78,215.625,1.0674,0.72146,1.09521,0.93123,0.96515,0.98097,0.62916,1.25187,0.67309,1.078,0.000396246,0.000396246,0.000396246
79,218.093,1.10705,0.79962,1.13104,0.93703,0.9537,0.98076,0.62217,1.26585,0.67381,1.08579,0.000379743,0.000379743,0.000379743
80,220.468,1.03311,0.69422,1.07358,0.95229,0.94121,0.97997,0.619,1.28849,0.67036,1.09268,0.000363239,0.000363239,0.000363239
81,223.038,1.05562,0.72364,1.08703,0.9606,0.94496,0.97968,0.6197,1.28704,0.66681,1.08867,0.000346736,0.000346736,0.000346736
82,225.545,1.03007,0.74556,1.09302,0.94819,0.96819,0.98027,0.61882,1.288,0.65365,1.08061,0.000330233,0.000330233,0.000330233
83,227.959,1.01376,0.67272,1.08944,0.94645,0.9727,0.97987,0.61779,1.2907,0.65549,1.07972,0.000313729,0.000313729,0.000313729
84,230.749,1.06957,0.69334,1.08982,0.95049,0.97498,0.98058,0.61856,1.29136,0.65014,1.07863,0.000297226,0.000297226,0.000297226
85,233.458,1.01358,0.69114,1.07856,0.95306,0.97524,0.9807,0.61495,1.2935,0.63934,1.07649,0.000280723,0.000280723,0.000280723
86,235.926,1.04298,0.71585,1.09418,0.95502,0.96751,0.9796,0.61784,1.2815,0.62515,1.06951,0.00026422,0.00026422,0.00026422
87,238.358,1.0709,0.73647,1.09389,0.95405,0.97284,0.98082,0.62327,1.28876,0.62331,1.07098,0.000247716,0.000247716,0.000247716
88,240.793,1.07807,0.71287,1.09639,0.94852,0.97284,0.98025,0.622,1.28917,0.62513,1.06928,0.000231213,0.000231213,0.000231213
89,243.347,1.06725,0.72253,1.10928,0.94455,0.97284,0.97995,0.62156,1.28868,0.62527,1.07078,0.00021471,0.00021471,0.00021471
90,245.926,1.03316,0.7163,1.0762,0.94268,0.96894,0.98014,0.62063,1.2809,0.6335,1.06899,0.000198206,0.000198206,0.000198206
91,248.356,0.9774,0.674,1.04346,0.94077,0.96472,0.98002,0.62244,1.27155,0.63541,1.06795,0.000181703,0.000181703,0.000181703
92,250.607,1.04146,0.73215,1.08379,0.93654,0.96888,0.98019,0.62493,1.26038,0.63357,1.06769,0.0001652,0.0001652,0.0001652
93,252.885,0.9906,0.71059,1.09038,0.93251,0.96784,0.97781,0.62722,1.25014,0.63729,1.06717,0.000148696,0.000148696,0.000148696
94,255.337,1.05051,0.73882,1.09065,0.93338,0.96979,0.97963,0.62893,1.24555,0.63368,1.06863,0.000132193,0.000132193,0.000132193
95,257.623,0.94984,0.68021,1.04044,0.93255,0.97284,0.98024,0.62784,1.25045,0.6321,1.07015,0.00011569,0.00011569,0.00011569
96,259.983,0.95899,0.65136,1.03765,0.93808,0.97588,0.9809,0.63068,1.24394,0.63088,1.06929,9.91865e-05,9.91865e-05,9.91865e-05
97,262.43,0.92808,0.64074,1.03306,0.92696,0.97634,0.98002,0.6323,1.24393,0.63043,1.07056,8.26832e-05,8.26832e-05,8.26832e-05
98,264.843,0.97052,0.66099,1.0644,0.92558,0.98152,0.97955,0.64188,1.22764,0.63206,1.065,6.61799e-05,6.61799e-05,6.61799e-05
99,267.388,0.98454,0.64051,1.06028,0.92644,0.98274,0.97879,0.64216,1.22936,0.63604,1.0654,4.96766e-05,4.96766e-05,4.96766e-05
100,269.847,0.93296,0.62531,1.04351,0.92744,0.98247,0.97765,0.64252,1.22665,0.63947,1.06515,3.31733e-05,3.31733e-05,3.31733e-05
