epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5164,1.76281,2.72904,1.4532,0.50813,0.2585,0.44696,0.22607,1.66135,2.4571,1.46004,0.000541419,0.000541419,0.000541419
2,20.701,1.47329,1.53492,1.247,0.67747,0.64372,0.66777,0.38227,1.58579,1.73175,1.41521,0.00108622,0.00108622,0.00108622
3,33.2807,1.43616,1.25829,1.23458,0.71892,0.66255,0.69263,0.39508,1.58972,1.64885,1.40062,0.00162003,0.00162003,0.00162003
4,43.3952,1.40138,1.2204,1.20385,0.76261,0.7689,0.8026,0.46721,1.49665,1.41053,1.3127,0.00161749,0.00161749,0.00161749
5,55.3484,1.30337,1.14245,1.18161,0.69921,0.77516,0.84048,0.52497,1.34392,1.35328,1.25087,0.00160099,0.00160099,0.00160099
6,68.208,1.25444,1.0556,1.13371,0.78912,0.80552,0.81817,0.52713,1.30027,1.21133,1.20897,0.00158448,0.00158448,0.00158448
7,77.3731,1.25024,1.00645,1.11837,0.65613,0.71427,0.7338,0.44532,1.2819,1.4709,1.24538,0.00156798,0.00156798,0.00156798
8,86.6535,1.2175,0.97493,1.08229,0.88595,0.83939,0.9033,0.58064,1.22476,0.99344,1.14038,0.00155148,0.00155148,0.00155148
9,95.4545,1.2045,0.93255,1.08817,0.83955,0.89562,0.90858,0.60141,1.1942,0.97188,1.15428,0.00153497,0.00153497,0.00153497
10,104.23,1.18806,0.92513,1.07446,0.76926,0.82182,0.8292,0.53577,1.17486,1.06516,1.1474,0.00151847,0.00151847,0.00151847
11,113.728,1.21519,0.89065,1.07809,0.88686,0.86586,0.9213,0.61772,1.13319,0.9183,1.08932,0.00150197,0.00150197,0.00150197
12,124.724,1.15448,0.88655,1.0656,0.89446,0.9195,0.93949,0.65078,1.1064,0.81404,1.08643,0.00148546,0.00148546,0.00148546
13,135.903,1.14107,0.84274,1.05783,0.86914,0.90985,0.91644,0.61332,1.15521,0.87743,1.09187,0.00146896,0.00146896,0.00146896
14,145.809,1.14393,0.83337,1.0529,0.88629,0.93347,0.94968,0.65036,1.09099,0.80097,1.08962,0.00145246,0.00145246,0.00145246
15,154.571,1.10775,0.79126,1.03515,0.935,0.88551,0.96088,0.65976,1.07843,0.79202,1.06792,0.00143595,0.00143595,0.00143595
16,163.164,1.11358,0.80598,1.05018,0.91565,0.92351,0.95858,0.66199,1.15111,0.7663,1.09136,0.00141945,0.00141945,0.00141945
17,171.694,1.1241,0.80063,1.05378,0.89898,0.92185,0.95473,0.66376,1.06961,0.79319,1.06215,0.00140295,0.00140295,0.00140295
18,180.452,1.12386,0.80074,1.04105,0.89499,0.89997,0.94673,0.63928,1.11381,0.81184,1.08427,0.00138644,0.00138644,0.00138644
19,189.07,1.09357,0.75761,1.03136,0.89901,0.90648,0.95911,0.67246,1.06564,0.76279,1.06623,0.00136994,0.00136994,0.00136994
20,197.695,1.08567,0.7384,1.0382,0.90137,0.91307,0.95835,0.67761,1.06395,0.72714,1.06837,0.00135344,0.00135344,0.00135344
21,206.341,1.06166,0.73357,1.01938,0.93555,0.90674,0.96612,0.68239,1.03931,0.71403,1.0367,0.00133693,0.00133693,0.00133693
22,214.964,1.05026,0.72889,1.02002,0.91894,0.9262,0.95261,0.66937,1.01764,0.71582,1.0374,0.00132043,0.00132043,0.00132043
23,223.645,1.03685,0.70841,1.00882,0.86374,0.90909,0.93859,0.64316,1.04336,0.80222,1.04525,0.00130393,0.00130393,0.00130393
