epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.19093,1.98656,3.46963,1.65588,0.0274,0.3218,0.0891,0.03581,1.62542,3.41042,1.59967,0.00015003,0.00015003,0.00015003
2,11.4729,1.63286,2.83586,1.38034,0.0483,0.52117,0.1988,0.08179,1.48057,3.09436,1.35378,0.000313594,0.000313594,0.000313594
3,15.5141,1.57994,2.21866,1.26948,0.81341,0.14852,0.28007,0.13193,1.46377,2.78332,1.33182,0.000473858,0.000473858,0.000473858
4,19.5368,1.50476,1.87048,1.23805,0.46146,0.21428,0.3718,0.19614,1.47132,2.56815,1.32918,0.000630821,0.000630821,0.000630821
5,23.6767,1.43576,1.5971,1.18129,0.66462,0.54765,0.61053,0.33676,1.60744,2.07833,1.3351,0.000784484,0.000784484,0.000784484
6,27.7176,1.4479,1.42636,1.21947,0.78616,0.62561,0.68818,0.37474,1.59549,1.6041,1.32861,0.000934845,0.000934845,0.000934845
7,31.6957,1.38882,1.29709,1.19696,0.77698,0.62948,0.69181,0.39621,1.57429,1.60137,1.33477,0.00108191,0.00108191,0.00108191
8,35.7488,1.40804,1.24947,1.19054,0.54062,0.63785,0.57264,0.31694,1.48198,2.08293,1.33003,0.00122567,0.00122567,0.00122567
9,39.7189,1.37638,1.29811,1.19677,0.53064,0.57409,0.53823,0.29788,1.50138,1.93914,1.3198,0.00136613,0.00136613,0.00136613
10,43.9056,1.30653,1.2032,1.16625,0.74402,0.66485,0.75682,0.46435,1.38604,1.59015,1.25516,0.00150329,0.00150329,0.00150329
11,47.9826,1.34572,1.17398,1.17139,0.74118,0.74397,0.7672,0.47089,1.35307,1.67957,1.18276,0.00150197,0.00150197,0.00150197
12,51.9506,1.29179,1.13794,1.12717,0.75943,0.71998,0.76978,0.43904,1.45423,1.71166,1.20599,0.00148546,0.00148546,0.00148546
13,55.8586,1.28369,1.10918,1.10905,0.77387,0.75355,0.77329,0.46098,1.40877,1.5959,1.17936,0.00146896,0.00146896,0.00146896
14,59.8418,1.22922,1.04465,1.0965,0.80265,0.70767,0.78762,0.49339,1.36546,1.37539,1.16323,0.00145246,0.00145246,0.00145246
15,63.8346,1.27712,1.04786,1.12847,0.78383,0.72094,0.77735,0.48498,1.37458,1.44647,1.17428,0.00143595,0.00143595,0.00143595
16,67.8631,1.21145,0.99874,1.08892,0.79081,0.72967,0.78211,0.49473,1.31717,1.30821,1.14492,0.00141945,0.00141945,0.00141945
