epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07218,2.09463,3.29981,1.81843,0,0,0,0,0,13.7812,0,0,0,0
2,1.51162,2.06369,3.22715,1.93747,0,0,0,0,0,13.7812,0,1.6505e-05,1.6505e-05,1.6505e-05
3,1.96861,1.85033,3.29307,1.66633,0,0,0,0,0,13.7812,0,3.26799e-05,3.26799e-05,3.26799e-05
4,2.4771,1.9552,3.34142,1.79879,0,0,0,0,0,13.7812,0,4.85247e-05,4.85247e-05,4.85247e-05
5,3.04071,1.74352,3.22893,1.66689,0,0,0,0,0,13.7812,0,6.40395e-05,6.40395e-05,6.40395e-05
6,3.56301,1.66664,2.97916,1.576,0,0,0,0,0,13.7812,0,7.92242e-05,7.92242e-05,7.92242e-05
7,4.05678,2.05844,3.00408,1.95494,0,0,0,0,0,13.7734,0,9.40788e-05,9.40788e-05,9.40788e-05
8,4.55979,1.63309,3.09592,1.56105,0,0,0,0,0,13.7578,0,0.000108603,0.000108603,0.000108603
9,5.03229,1.53779,2.9432,1.58064,0,0,0,0,0,13.7578,0,0.000122798,0.000122798,0.000122798
10,5.5499,1.487,2.85116,1.46616,0,0,0,0,0,13.6484,0,0.000136662,0.000136662,0.000136662
11,6.03101,1.65401,2.85097,1.54205,0,0,0,0,0,13.6484,0,0.000150197,0.000150197,0.000150197
12,6.53159,1.37679,2.8915,1.37124,0,0,0,0,0,13.375,0,0.000163401,0.000163401,0.000163401
13,7.11751,1.39657,2.79271,1.40299,0,0,0,0,0,13.375,0,0.000176275,0.000176275,0.000176275
14,7.63726,1.15662,2.5378,1.29522,0,0,0,0,0,13.1641,0,0.000188819,0.000188819,0.000188819
15,8.11286,1.22983,2.4938,1.29237,0,0,0,0,0,13.1641,0,0.000201034,0.000201034,0.000201034
16,8.62251,1.14732,2.50962,1.30207,0,0,0,0,0,13.1797,0,0.000212918,0.000212918,0.000212918
17,9.108,1.28678,2.55316,1.28871,0,0,0,0,0,13.1797,0,0.000224472,0.000224472,0.000224472
18,9.61551,1.49816,2.3392,1.45254,0,0,0,0,0,13.9766,0,0.000235695,0.000235695,0.000235695
19,10.0745,1.30904,2.31362,1.21291,0,0,0,0,0,13.9766,0,0.000246589,0.000246589,0.000246589
20,10.5863,1.33709,2.20099,1.30087,0,0,0,0,0,15.9609,0,0.000257153,0.000257153,0.000257153
21,11.0945,1.06798,2.08896,1.13331,0,0,0,0,0,15.9609,0,0.000267387,0.000267387,0.000267387
